Column1;Column2
Ibn-i Meymun;"Bunu bizim yav?ak milliyetçi idiot tayfaya dinletmek laz?m.
Bir kaç nilyon dolarla milyar dolarl?k maliyete neden oluyorsun.#Bayraktar#?HAve#S?HAlar? devleti kaz?klamaktan ba?ka i?e yaram?yor. ?ngiliz gazeteci-analist Richard Medhurst@richimedhurst?ran'?n misillemesini yorumluyor?lk kez tüm direni? ekseni'ni canl? bir askeri operasyonda görüyoruz.Sava?lar cüzdanla yap?l?r, ?srail roketleri dü?ürmek için 1 Milyar Dolar harcad?, ?ran ise bütün ?srail nufüsunda"
Osman Bey;Bazen de gülüp geçeceksin#Bayraktar
EgemenAlp;Geçmi?te Yunan ordusuna yard?m gönderenlerin torunlar?#Baykarve#Bayraktarailesine sald?r?yor.
EgemenAlp;"#Baykar'a#Bayraktarailesine sald?rmalar?, iktidar olmalar? halinde bir sürü iftira ile önlerini kesmek için, ?imdiden toplumu haz?rl?yorlar,
 ""biz demi?tik hakl? ç?kt?k"" diyecekler.
Bu konuda 
N. Demira?, Vecihi Hürku?'tan beri uzmanla?t?lar."
Ali Mevlüt Kaya;"#bayraktarSelçuk Bayraktar’dan PKKyanda?? Hollandal? sözde gazeteciye cevap!

Baykar'?n Yönetim Kurulu Ba?kan? Selçuk Bayraktar, Hakkari Çukurca’da çekilen foto?raf?na, ""Defol Kürdistan'dan"" payla??m? yapan PKK yanda?? Hollandal? sözde gazeteci Frederike Geerdink'e,"
AslanN.;@Selcuk#Bayraktarsadece terör örgütlerine de?il, israil terör devletine de (sözde) vaadedilmi? topraklardan poz vererek meydan okumu?! Maa?allah ! Allah esirgesin bilinen ve bilinmeyen tüm kötülüklerden!
@Suskun Sakaryal?tetova;Evet o filim bitti?inde bir ço?u çukur eylemlerinde sar? pö?etler ile uzun bir yolculu?u gitti bu filim hiç bitmiyek#?HA#S?HA#Bayraktarçekimlere devam ediyor sehirde kal?n
Vakt-i Muhabbet;O lazeri de gö.ünüzde patlatmay? biliriz merak etme sen!.. Seninkilere söylesene kafay? bir ç?kars?nlar sakland?klar? inlerden, bir ?ey deneyece?iz...#BAYKARGURURUMUZ#Bayraktar
Turantu?;"Rahmetle Dua ?le Cennet Mekan Sultan Abdülhamid Han Hz#Bitcoin#SONDAK?KA#FreePalestine#Sava?#ElkassamTugaylar?#Bayraktar#IranAttackIsrael Ulu Atam Abdülhamid Han.

Rahmet ve minnetle..."
Saadet Soydo?an(@sonkodbukucusaadetö?retmen);"Ayaklar?n?n de?di?i yer yurdumun nadide yeridir. O çiçekler ki karde?li?in bar???n sembolü Anadolu'nun sembolü. Bir yi?it geçti o topraklardan. Derdi vatan millet bayrak olan. Analar a?lamas?n, körpe kuzular toprak ba?r?nda yatmas?n diye. Etten duvar örün etraf?na.#Bayraktar Zap Suyu üzerinde Ters lale mevsimi..

Hakkari / ÇukurcaHay?rl? Sabahlar."
Bekir Süt;Türkiye Cumhuriyeti Devleti ne yapt? diyenler izlesin türkiye Cumhuriyeti Devletin topraklar?n? korumak için geçe gündüz çal??an mühendislerinin var#ASELSAN#Roketsan#bayraktar#tb2#mavivatan
Tolga;"Siyonizmin !tleri PKKl? p!çler, içerdeki PKK ve Apo sevdal?s? yeminli devlet-millet dü?man? provokatörler ve ha!n ortaklar?;#Bayraktarkarde?leri ve#Baykar'?;
niye sevsin ki.?

Sanmay?n ki TÜRK yurdu çakallara yurt olur;
Sald?rd?kça çakallar, her TÜRK döner KURT olur.."
Yeni Akit Gazetesi;Ahmet Hakan’dan, o namussuzlara “Bayraktar” kapa??! Art?k sittin sene kendilerine gelemezler#ahmethakan#ahmethakanyaz?lar?#bayraktar
Neslihan Nazik;Gururumuzsun#Bayraktar
Karabük Medya;- Türk savunma sanayiine sistematik sald?r?#SONDAK?KA#HakanUral#Bayraktar#SelçukBayraktar#konya#ErhanAfyoncu
Hülya abla;Vay anam vay demek ki dert GAZZE de?ilmi?.#GazzeyeAl??ma#BayraktarSELÇUK BAYRAKTAR IN AVUKATIYIM
supermad;tusa?'a ait know-how ve kalifiye mühendisler bugüne kadar bu damat tak?m?ndan korundu mu? halk?n menfaati kolland? m?? devlet deste?i verilmedi?ine emin misiniz? yap?lm?? ihalelerde nepotizm etkisi s?f?r m??#baykar#bayraktar
Ersin TURAN;- Destek istemiyorsa bile zorla destek verilmeli.#Baykar#SSB#Destek#Bayraktar Kamuoyuna duyurulur!
Grand Turco;"Sayg?yla duyurursun olmaz, affedersin itin g.tüne sokars?n olmaz. Allah kimseyi bu kadar kör cahil etmesin.

Ya da böyle kals?nlar, nas?lsa bunlardan b' b.k olmuyor.#BAYKARGURURUMUZ#Bayraktar Kamuoyuna duyurulur!"
servinkilic1980@hotmail.com;"Esta?firullah 
Esselamu aleyküm 
Bismillahirrahmanirrahim 
Yarabbi 
Kap?na geldik bizleri KULlu?a kabul et,R?zana talibiz,bizleri ma?firet et 
Bizlere istikamet nasip eyle 
Amin 
Sabah? ?erifleriniz hayrolsun..#hay?rl?sabahlar#PAZARTES?#gaza#katilisrail#Iran#Bayraktar"
Grand Turco;#BayraktarTB2mi yoksa#ANKAm? daha çok ac?t?yor,@fgeerdink?#Bayraktar
Ersin TURAN;- Hollandal? bir teröristin yapt??? payla??mdan kimlerin Bayraktar ailesinden rahats?z oldu?unu bir kez daha görmemizi sa?lad?.#Bayraktar#Hakkari
Vefal?;Siha diye yaz?l?r Yi?it diye okunur@Selcuk#Bayraktar Yüksekova...
öyle i?te;"Te?vi?i yard?m zanneden tüm cahillere:#te?vik#independent#medya#bayraktar#IranAttack#terslaleler Konuya ?öyle de bakabiliriz…

Volkswagen Türkiye’ye 1.5 milyar euro (45 milyar TL) yat?r?m yaps?n diye te?vik verip ikna etmeye çal??t?k, ama sonradan VW vazgeçti.

“Volkswagen’e 45 milyar lira te?vik” oldukça haval? olurdu, fakat özgür bas?n?m?z tercih etmedi.

Ford yat?r?m x.com/nejatozonay/st…"
Taha Emre BINGOL;@RTErdogan@adalet_bakanlik#Bayraktartartismalari gosterdi ki ulkenin ilk ucaginin ve devrim arabasinin onune tas koyan serefsiz hastalikli zihniyet halen yasamaktadir bir an once teknoloji gelistiren ve rustunu kanitlamis firmalar anayasal garanti altina alinmali!
Pamir Numano?lu;"Ben de sana;“Sar? Laleler Ald?m Çiçek Pazar?ndan”@Selcuk#bayraktar Zap Suyu üzerinde Ters lale mevsimi..

Hakkari / ÇukurcaHay?rl? Sabahlar."
supermad;kamu ihalelerini kat be bat pahal? fiyat?n? yanda?lar?na veren erdo?an ve çevresi müslüman tak?lmaya devam etsinler. etiket müslim olabilir ama ?slam de?iller, hatta Hz. Muhammed'in miras?na hakaret niteli?inde davran??lar...#bayraktar#SONDAKIKA#domuz#israil#Türkiye#?irk
senaa;Bayraktar grubuna güya kendince sald?r?da bulunan,  laf atan çaps?zlar? -kim olursa olsun!- fazla ciddiye al?yor millet.  Sineklerin v?z?lt?s? aslanlar?n  gölgesinde kaybolur ha ülke sinek istiyorsa kendini ona lay?k görüyorsa ne halleri varsa b?rak?n görsünler.#Bayraktar
Özkan Karata?;"Özledi?imiz Muhsini tav?r tam olarak budur.#Iran#IranAttackIsrael#Baykar#Bayraktar#Istakoz Samimiyet, Gazze, görgüsüzlük ve duyan, dinleyen, anlayan, hakk? teslim eden ve milletin esas dertlerine e?ilen bir siyaset üzerine…Milletimizin ciddi meseleleri ve art?k duyulmaz hâle gelmi? dertleri var!

?nsanlar, ula?abildi?i her siyasetçiye, bulabildi?i her mecrada, avaz"
Bilge_KAAN;"K?skanç bir kimsenin gözü ç?ks?n 
Hüner,onun gözünde bir kusur görünür.
?ayet bir marifetin ve yetmi? kusurun bulunsa.
Dost,o tek hünerden ba?kas?n? görmez.#sar?torba,#Bayraktar,#Siha"
KÜFÜRBAZ KEMAL?ST;Suriye may?nlar? temizlendi arkas?na suriyede savaç ç?kt?. ?ran s?n?r?ndaki may?nlarda temizleniyor hatta 46 bin may?n temizlenmi?. Bu ülkeyi demografi yoluyla çökertmeye çal??t?klar?n? ve buna kimin çanak tuttu?unu anlamamak için geri zekal? olmak laz?m.#Iran#Bayraktar#Israel
FatihS4153;"Elin gavuru öve öve bitiremiyor ?ark?lar methiyeler düzüyor bizim gavurlarda köpek gibi çok pardon it gibi sald?r?yor...#Bayraktar@BaykarTech@Selcuk@haluksizler bizim gururumuzsunuz...#Pazar#SonDakika#Gündem Ukrayna halk? iki y?ld?r her türlü zorlu?a meydan okuyarak ac?mas?z bir i?gale kar?? kahramanca direniyor.

Ba??ms?zl?k, özgürlük ve ulusal kimliklerini korumak u?runa hayatlar?n? ortaya koyan Ukraynal?lar, her gün yeni bir destan yaz?yor.Gazze'denKiev'e kadar güçlünün de?il"
Pro-Goverment;?ran dün gece israile bomba ya?d?rd? ama Filistinli 10 ya??nda ki çocu?un sapanla att??? ta? kadar incitmedi sionist katilleri.#IranAttackIsrael#Bayraktar#israelterroriststate#FreePalesitne
Kaos teorisi;"Üstte#Rusya#Ukraine?, sa?da#Azerbaijan#Ermenistan, Altta#Suriye,#iran,#israil, komple Ortado?u sava? halinde. Solda F?rsat bulsa#yunanistantehdidi
?çimizdeki Vatansevmezler#Bayraktarlara sald?r? ile me?guller.#siha#iha#s400ü istemiyorlar ?ükürler olsun ki bu kaos ortam?nda ba??m?zda Recep Tayyip Erdo?an var… Cumhurba?kan? Erdo?an#sava?#IranDemir Kubbe ?srail Tel Aviv NATO"
altinorduhaber;BAYRAKTAR SON NOKTAYI KOYDU , BAYKAR HAKKINDA UZUN SÜRED?R SÜREN POLEM?KLERE CEVAP VERD?#bayraktar#siha#iha#selçukbayraktarhttps://altinorduhaber.com/haber-detay-bayraktar-son-noktayi-koydu-baykar-hakkinda-uzun-suredir-suren-polemiklere-cevap-verdi.html…@Selcuk
Grand Turco;D??ar?dan ziyade içerideki lalelere dert oldun@Selcuk#BAYKARGURURUMUZ#Bayraktar Selçuk Bayraktar, Bayraktar TB-2'nin katk?lar?yla terörden temizlenen Hakkari Çukurca'da poz verdi.
Tarkan Y?lmaz;?ki yunan kafas? var Yunanistan TV leri hergün Türkiyede ki geli?meleri anlat?p halk?n? uyar?yor. Türkiyede ki yunanlarda TV ?nternet Türkiyede yap?lanlar? karalayarak engellemeye çal???yor. ?kiside dü?manl?k için yap?yor.#baykar#ak?nc?#bayraktar
The Turkish Post;Erdo?an sonras?na haz?rl?k m??#Erdo?an#Bayraktar#haber
Tolga ESEN;Analar ne yi?itler do?uruyor#Bayraktar
Ustad;"#AmerikanRusVeÇinFirmalar?n?Geride b?rakarak dünyada en çok
?nsans?zHavaArac??hraçEdenFirma#Bayraktar#SelcukBayraktar#LinçTürkiye?anl?HOLD?NG_Patronlar?n?
Verdi?i vergiyle geride b?rakarak ?u
Yi?itKarde?leriCandanKUTluyorum#TürkMilletininOnuruSevinciOlurlar#ÇekemiyenZ?nd?k"
AdemDurmusBasaran52;"#AmerikanRusVeÇinFirmalar?n?Geride b?rakarak dünyada en çok
?nsans?zHavaArac??hraçEdenFirma#Bayraktar#SelcukBayraktar#LinçTürkiye?anl?HOLD?NG_Patronlar?n?
Verdi?i vergiyle geride b?rakarak ?u
Yi?itKarde?leriCandanKUTluyorum#TürkMilletininOnuruSevinciOlurlar#ÇekemiyenZ?nd?k"
The Turkish Post;"?BB-Bayraktar tart??mas?
Evren Bar?? Yavuz tutukland?#Bayraktar#evrenbarisyavuz#haber"
MSI Turkish Defence Review;Haberin devam? için:https://savunmahaber.com/sinirda-ve-sinir-otesinde-gorev-yapan-mehmetciklere-bayram-ziyareti/…@BaykarTech@Selcuk@haluk@aselsan@Ahmet_AKYOL82#MSIDergisi#savunmasanayisi#savunmavehavac?l?k#Baykar#Bayraktar#Aselsan
Sibel Öztürk;Önce i?birli?i sonra çökme#canl?#baýraktar#ayhanborakaplan#gündem#h...https://youtube.com/live/4BpIxk5jHy4?si=kJT8CoN62JBdEPkL…@YouTubearac?l???yla
Muhaf?z;"Dün#togga havlayanlar bugün#Bayraktara havl?yor..
Kurtlar?n arkas?ndan#havlayanhep köpekler olmu?tur@Selcuk"
Bayram Özdemir;#bayraktar’a yap?lan sald?r?n?n özeti!
EczaBJK;"Bu ülkede herkesi ele?tirin ama
Savunma sanayini destekleyelimBa?ka ülkemiz yok sava? kap?da#aselsan#bayraktar#tusa?#roketsan"
NURCAN KILIÇ;"hat?rlat?r?z ki; Türkiye, Baykar'dan önce ?srail'den ?HA al?yordu. Baykar ?HA üreterek ?srail firmas?yla rekabet etti ve Türkiye'ye çok daha kaliteli ?HA'lar? 10'da 1 maliyetle tedarik etti.

 Esad / Sava? Rusya / Suriyeli / füze Konya /#Selçuk#Bayraktar/#BAYKAR#teleferk"
?????????;".cCc.?anl? Türk ordusu, ve Vatansever, Türk mühendisleri omuz omuza..

Üç belediye fazla ald?k diye ??mar?p de?erlerimize sald?rmalar? i?te bu yüzden.

Tekrar ediyorum, ?yi ki vars?n#SelcukBayraktar#Bayraktar@Selcuk"
esss;"Kemalist puta taparken 
Müslüman gö?e bak?yordu#Akparti#AKP#Bayraktar?nYan?nday?m#Bayraktar#SelcukBayraktar#iha#siha"
Pro-Goverment;"22 y?ld?r Akparti seçmeni olarak RE?S e dik dur e?ilme dedik. Yerel seçimlerde biz dik duramad?k yamulduk. Sebeb para m?? Yaz?k

“Bir elime ay ? bir elime güne? i verseler ben davamdan vazgeçmem.” diyen Peygamber (sav) in ümmeti patates so?an a davay? satt?.#Bayraktar"
Enerji Editoru;#Ekrem?mamo?lu'na oy vermi? 100 bin#?stanbullu#Bayraktarkarde?ler hakk?nda suç duyurusunda bulunmaz ise utanç duyar?m.
Mustafa  Siel;CHP Bir Parti De?il Haçl? Siyonist Bat?n?n Türkiye Acentas?d?r#KudüsTugaylar?#ElKassamTugaylar?#Sondakika#?ran#?srail#Israel#Sava?#Alt?n#Gaza#Israel#Iran#sava?#SONDAK?KA#ALTIN#Suriye#Rusya#S?HA#Aselsan#Rak?#Bayraktar?nYan?nday?m#Bayraktar#Hamas#EbuUbeyde
Yusuf bkr;"Mesele bayraktar de?il
Mesele bayraktar?n seküler bir laik olmamas?
Mesele bayraktar ?n beyaz Türk olmamas?
Mesele bayraktar ?n onlar gibi dü?ünmemesi
Mesele bayraktar ?n RTE nin damad? olmas?..
Mesele bayraktar?n hangarda sabahlamas?#sava?#Bayraktar#SelcukBayraktar"
Mustafa  Siel;"CHP Bir Parti De?il Haçl? Siyonist Bat?n?n Türkiye Acentas?d?r#KudüsTugaylar?#ElKassamTugaylar?#Sondakika#?ran#?srail#Israel#Sava?#Alt?n#Gaza#Israel#Iran#sava?#SONDAK?KA#ALTIN#Suriye#Rusya#S?HA#Aselsan#Rak?#Bayraktar?nYan?nday?m#Bayraktar#Hamas#EbuUbeyde ?SLAM - EZAN DÜ?MANLI?I VARLIK SEBEB? OLAN CHP Z?HN?YET? ASLA DE???MEZ! 

KATRANI KAYNAT KAYNAT OLMAZ ?EKER, C?NS?N? SEVD???M C?NS?NE ÇEKER.

HER CHP'L? VE ALEV?N?N GÖNLÜNDE, SÜNN?LER? EZEN B?R ESED OLMAK YATAR.

Mustafa S?EL videosuna bir göz at!#TikTokhttps://vm.tiktok.com/ZMMQyydRW/"
Fatma BALCI;"O öyle de?il. Yalan, iftira, demagoji CHP nin, dolay?s?yla ?mamo?lunun uzmanl?k alan?.

Gerçekte tam tersi oldu. Seçim süreci boyunca haf?za kayb?na u?rayan, verdi?i sözleri unutan ?mamo?lu rezilli?ini örtmek için#Baykarve#Bayraktarkarde?lere iftiralarla sald?rd?,tehtid etti."
Ali DARI?A;"Azg?n az?nl?k ne insanl??? var ne vicdan?...

Ülkenin geli?imine en büyük katk?y? veren#Bayraktarailesine sald?r?yor. Sosyal medyada Baykar ve yöneticileri aleyhine alçakça ve ?erefsizce uçak yak?t? konusunda bir iftira kampanyas? yürütülüyor.Baykar, Türkiye'den Gazze'ye en büyük insani yard?m? gerçekle?tirmi? bir firmad?r.Firmam?z?n tek faaliyet alan? insans?z hava arac? sistemleridir.

Bu"
Eski Solcu;"Yalan söylediklerini biliyoruz…
Bizim, onlar?n yalan söyledi?ini bildi?imizi de biliyorlar…
Ama ona ra?men hala yalan söylüyorlar…
YÜZSÜZ KAV?M …#ErkenSeçimDediEmekli#TeleferikAselsan#Bayraktar#ALTIN"
Derindeniz;"@973dilekElinize  ve  kaleminize  sa?l?k#Bayraktar#oyak#damath?rç?n   k?zg?n 

Öfkeli  petrol  DOLAR  EURO  

Oh  ne  alem hayat"
Kemal Lay?k;"#Bayraktar#BayraktarTB3Bayraktarlar Türk milletinin gururudur. Mete Yarar:  PKK'n?n binlerce avukat? var, ben milli bir adam?n avukatl???n? m? yapmayaca??m?

Avukatl?ksa avukatl?k, Evet Selçuk Bayraktar ve Haluk Bayraktar'?n avukat?y?z!"
Murat Ba?;?PA ?stanbul çöpçüsünün  ?stanbul planlama ajans? için derhal soru?turma aç?lmal?d?r. Yakalanan tasmal?n?n cinslerinden mevcutlar var ise haklar?nda i?lem yap?lmal?d?r.@adalet_bakanlik@istanbulAdliye#ibbçöpçüsü#Teleferik#Baykar#BAYKARGURURUMUZ#Bayraktar#tasmal?#chpkk
Fahrettin Berkta?;"KÖPEKLER ?ST?YOR D?YE, 
ATLAR ÖLMEZM??...

ÖLÜMÜNE SEN?NLEY?Z...@Selcuk#Bayraktar"
Kemal Lay?k;"#Bayraktar#BayraktarTB3Bayraktarlar Türk milletinin gururudur. Mete Yarar:  PKK'n?n binlerce avukat? var, ben milli bir adam?n avukatl???n? m? yapmayaca??m?

Avukatl?ksa avukatl?k, Evet Selçuk Bayraktar ve Haluk Bayraktar'?n avukat?y?z!"
Murat Ba?;?PA ?stanbul çöpçüsünün  ?stanbul planlama ajans? için derhal soru?turma aç?lmal?d?r. Yakalanan tasmal?n?n cinslerinden mevcutlar var ise haklar?nda i?lem yap?lmal?d?r.@adalet_bakanlik@istanbulAdliye#ibbçöpçüsü#Teleferik#Baykar#BAYKARGURURUMUZ#Bayraktar#tasmal?#chpkk
Fahrettin Berkta?;"KÖPEKLER ?ST?YOR D?YE, 
ATLAR ÖLMEZM??...

ÖLÜMÜNE SEN?NLEY?Z...@Selcuk#Bayraktar"
Öz?? Y??????z;"Peki, yap?lanlar ne olduE?er alg? yap?lmadayd?,istemezükçüler kar?? ç?kmasa,bat?l?
müttefiklerimiz ve DEVLET?M?Z,ilerici, modernist,ça?da?,karde?lerimiz DESTEKolsalard? bunca
YAPILMI?LAR YOK OLURMUYDU?akir Zümre soba yaparm?yd?#BAYRAKTARda
UZAY UÇU?LARI YAPIYOR olurdu"
Abdullah BA?ER;"Çal??malar? seyrediyorum desen daha yak???kl? olacak ve adam!#MuhittinBöcek?stifa#MesutKocagöz?stlfa#Bayraktar#Baykar#BAYKARGURURUMUZ#Besiktasyanginineoldu UMKE orada,
AFAD orada,
Mehmetçik orada,
Ülke seferber olmu?,
?hmalinin bedelini ödetti?i vatanda?lar? kurtarmak için cansiperane çal???yor.
Müsebbibi olan ba?kan 'kurtarma çal??malar?m?z devam ediyor' diye alg? yap?yor.
?stifa et..! x.com/BocekMuhittin/…"
SümeyyeSB;Anlamad???m#Bayraktarailesinden#?BB'ye ne. Sen git kendi belediyeciliginle u?ra?, i?ini yap.@ekrem_imamoglu@istanbulbld
ikbal;Ukrayna sava?? olmam??, Karaba? Azerbaycan taraf?ndan al?nmam??, Libya'ya, Kuveyt'e sat?lmam??, Suriye'de Esed'e, ?rak ve Suriye'de PKK'ya kar?? üstünlük sa?lanmas?na vesile olmam?? gibi..#Bayraktar'?n ?HA-S?HAlar? bu sava?larda/çat??malarda rü?tünü ispatlamam?? gibi çek kanka. Aselsan ve TAI kuruldu?unda henüz do?mam??t?n. Havelsan ve Roketsan kuruldu?unda daha çocuktun. Ne ?isirdiniz kendinizi x.com/bpthaber/statu…
Mazlumcan2023;"Sn@haluk@Selcuktabrik ederim Milyarderler aras?na isminizi yazd?rm??s?n?z Gözümüz yok . 
Yanl?z kurdu?unuz tayip düzeni milletinizi bir suya muhtaç ve donsuz gezecek hale getirdi. Mutlusunuzdur umar?m ? Sayg?lar?m?zla#Bayraktar 2 y?l aradan sonra bayram tatilinde Eminönü'ne giden aile:Evde sandviç ve börek yapm??t?k, iyi ki de öyle yapm???z her ?ey çok pahal?yd?. Sadece su ald?k."
k?l?ç_bey;Bir amerikal? apple yada microsoft u kötülemez, çünkü ülkesinin de?eridir, ama bizde NE ?DÜ?Ü belirsiz a??zlar?ndan s?çan bir grup var, sürekli BAYKAR' a Bayraktar lara sald?r?yor,bunlara 3 kuru? ver vatanlar?n? satar,çünkü mamaland?klar? yerler belli#Bayraktar#BAYKARGURURUMUZ
Adem;Hamd olsun#baykarve#bayraktarile#iha#sihalar sayesinde#Forbes#dolarmilyarderleri listesine 2.461 ve 2.609. S?radan girdik. Rabbim 4 y?l içinde daha h?zla yükselmeyi nasip edip di?er damatdan daha zengin olmay? nasip etsin....
Gergin Hukukçu;Sen ki teleferi?i bile i?letemeyen adams?n, ç?k?p Bayraktar'a laf ediyorsun#Bayraktar#BAYKARGURURUMUZ
Adem;Hamd olsun#baykarve#bayraktarile#iha#sihalar sayesinde#Forbes#dolarmilyarderleri listesine 2.461 ve 2.609. S?radan girdik. Rabbim 4 y?l içinde daha h?zla yükselmeyi nasip edip di?er damatdan daha zengin olmay? nasip etsin....
Mehmet AYDIN;"Tasalanma yi?idim; zaman bizden yanad?r
Külümüzden yükselen duman bizden yanad?r
Son durak, son ilahi ferman bizden yanad?r
Dünya dü?man olsa da, iman bizden yanad?r#Baykar#SelcukBayraktar#Bayraktar"
